Instance,Makespan,all_time,solve_time
"JobShopInstance(name=LA20_Z.txt, num_jobs=10, num_machines=10)",1549.75,0.0010519027709960938,0.0012624263763427734
"JobShopInstance(name=Ta61_F.txt, num_jobs=50, num_machines=20)",9039.0,0.03312563896179199,0.035201311111450195
"JobShopInstance(name=FT06_T.txt, num_jobs=6, num_machines=6)",83.25,0.00033926963806152344,0.0004475116729736328
"JobShopInstance(name=S6.4.txt, num_jobs=6, num_machines=6)",52.0,0.0002849102020263672,0.0003771781921386719
"JobShopInstance(name=Lei01.txt, num_jobs=15, num_machines=10)",370.0,0.0019750595092773438,0.0022432804107666016
"JobShopInstance(name=Ta63_F.txt, num_jobs=50, num_machines=20)",9258.0,0.03364920616149902,0.03537487983703613
"JobShopInstance(name=Ta44_F.txt, num_jobs=30, num_machines=20)",5413.0,0.013907432556152344,0.014990806579589844
"JobShopInstance(name=Ta58_F.txt, num_jobs=50, num_machines=15)",6708.0,0.025222301483154297,0.02654290199279785
"JobShopInstance(name=Ta15_F.txt, num_jobs=20, num_machines=15)",3415.0,0.004736661911010742,0.00530242919921875
"JobShopInstance(name=Ta42_F.txt, num_jobs=30, num_machines=20)",6343.0,0.013568639755249023,0.014659881591796875
"JobShopInstance(name=Ta36_F.txt, num_jobs=30, num_machines=15)",5179.0,0.009873151779174805,0.010705709457397461
"JobShopInstance(name=ABZ7_F.txt, num_jobs=20, num_machines=15)",1784.0,0.005013704299926758,0.005571126937866211
"JobShopInstance(name=LA21_Z.txt, num_jobs=15, num_machines=10)",2028.5,0.0019903182983398438,0.0022690296173095703
"JobShopInstance(name=Ta60_F.txt, num_jobs=50, num_machines=15)",7390.0,0.024667978286743164,0.026320457458496094
"JobShopInstance(name=Ta78_F.txt, num_jobs=100, num_machines=20)",13016.0,0.12479877471923828,0.1285381317138672
"JobShopInstance(name=Ta75_F.txt, num_jobs=100, num_machines=20)",16314.0,0.12433648109436035,0.1277480125427246
"JobShopInstance(name=LA37_S.txt, num_jobs=15, num_machines=15)",2935.25,0.0032482147216796875,0.0036575794219970703
"JobShopInstance(name=Ta76_F.txt, num_jobs=100, num_machines=20)",13945.0,0.12358951568603516,0.12696528434753418
"JobShopInstance(name=LA03_G.txt, num_jobs=10, num_machines=5)",929.75,0.0005755424499511719,0.0007328987121582031
"JobShopInstance(name=LA38_S.txt, num_jobs=15, num_machines=15)",2588.0,0.0029706954956054688,0.003353595733642578
"JobShopInstance(name=FT20_F.txt, num_jobs=20, num_machines=5)",1624.0,0.0014319419860839844,0.0016520023345947266
"JobShopInstance(name=Ta80_F.txt, num_jobs=100, num_machines=20)",14068.0,0.12432384490966797,0.12798428535461426
"JobShopInstance(name=Ta18_F.txt, num_jobs=20, num_machines=15)",4226.0,0.004909515380859375,0.005496501922607422
"JobShopInstance(name=Ta65_F.txt, num_jobs=50, num_machines=20)",10001.0,0.033121585845947266,0.0348203182220459
"JobShopInstance(name=Ta25_F.txt, num_jobs=20, num_machines=20)",5147.0,0.006499767303466797,0.007249116897583008
"JobShopInstance(name=Ta50_F.txt, num_jobs=30, num_machines=20)",6473.0,0.013178110122680664,0.014458894729614258
"JobShopInstance(name=Ta08_F.txt, num_jobs=15, num_machines=15)",2680.0,0.003106355667114258,0.0035195350646972656
"JobShopInstance(name=Ta23_F.txt, num_jobs=20, num_machines=20)",4943.0,0.0065233707427978516,0.0072383880615234375
"JobShopInstance(name=Ta70_F.txt, num_jobs=50, num_machines=20)",9739.0,0.033057212829589844,0.03478193283081055
"JobShopInstance(name=Ta13_F.txt, num_jobs=20, num_machines=15)",3853.0,0.005048274993896484,0.005631685256958008
"JobShopInstance(name=LA24_F.txt, num_jobs=15, num_machines=10)",2016.0,0.001966714859008789,0.0022521018981933594
"JobShopInstance(name=Ta17_F.txt, num_jobs=20, num_machines=15)",3271.0,0.004961729049682617,0.061258554458618164
"JobShopInstance(name=ORB02_Z.txt, num_jobs=10, num_machines=10)",1761.0,0.0010349750518798828,0.0012924671173095703
"JobShopInstance(name=Ta24_F.txt, num_jobs=20, num_machines=20)",5771.0,0.006377220153808594,0.0070950984954833984
"JobShopInstance(name=Ta43_F.txt, num_jobs=30, num_machines=20)",5518.0,0.01322793960571289,0.014340639114379883
