Instance,Makespan
"JobShopInstance(name=Ta70_F.txt, num_jobs=50, num_machines=20)",9739.0
"JobShopInstance(name=Ta71_F.txt, num_jobs=100, num_machines=20)",16177.0
"JobShopInstance(name=Ta72_F.txt, num_jobs=100, num_machines=20)",14014.0
"JobShopInstance(name=Ta73_F.txt, num_jobs=100, num_machines=20)",14415.0
"JobShopInstance(name=Ta74_F.txt, num_jobs=100, num_machines=20)",14025.0
"JobShopInstance(name=Ta75_F.txt, num_jobs=100, num_machines=20)",16314.0
"JobShopInstance(name=Ta76_F.txt, num_jobs=100, num_machines=20)",13945.0
"JobShopInstance(name=Ta77_F.txt, num_jobs=100, num_machines=20)",15577.0
"JobShopInstance(name=Ta78_F.txt, num_jobs=100, num_machines=20)",13016.0
"JobShopInstance(name=Ta79_F.txt, num_jobs=100, num_machines=20)",13884.0
"JobShopInstance(name=Ta80_F.txt, num_jobs=100, num_machines=20)",14068.0
