Instance,Makespan
"JobShopInstance(name=S10.3.txt, num_jobs=10, num_machines=10)",363.5
"JobShopInstance(name=S10.4.txt, num_jobs=10, num_machines=10)",102.5
"JobShopInstance(name=S6.1.txt, num_jobs=6, num_machines=6)",130.5
"JobShopInstance(name=S6.2.txt, num_jobs=6, num_machines=6)",118.75
"JobShopInstance(name=S6.3.txt, num_jobs=6, num_machines=6)",115.25
"JobShopInstance(name=S6.4.txt, num_jobs=6, num_machines=6)",71.75
"JobShopInstance(name=Ta01_F.txt, num_jobs=15, num_machines=15)",4506.0
"JobShopInstance(name=Ta02_F.txt, num_jobs=15, num_machines=15)",4867.0
"JobShopInstance(name=Ta03_F.txt, num_jobs=15, num_machines=15)",3978.0
"JobShopInstance(name=Ta04_F.txt, num_jobs=15, num_machines=15)",4661.0
"JobShopInstance(name=Ta05_F.txt, num_jobs=15, num_machines=15)",4364.0
"JobShopInstance(name=Ta06_F.txt, num_jobs=15, num_machines=15)",4924.0
"JobShopInstance(name=Ta07_F.txt, num_jobs=15, num_machines=15)",4816.0
"JobShopInstance(name=Ta08_F.txt, num_jobs=15, num_machines=15)",5147.0
"JobShopInstance(name=Ta09_F.txt, num_jobs=15, num_machines=15)",5831.0
"JobShopInstance(name=Ta10_F.txt, num_jobs=15, num_machines=15)",4892.0
"JobShopInstance(name=Ta11_F.txt, num_jobs=20, num_machines=15)",4911.0
"JobShopInstance(name=Ta12_F.txt, num_jobs=20, num_machines=15)",5500.0
"JobShopInstance(name=Ta13_F.txt, num_jobs=20, num_machines=15)",5852.0
"JobShopInstance(name=Ta14_F.txt, num_jobs=20, num_machines=15)",4725.0
"JobShopInstance(name=Ta15_F.txt, num_jobs=20, num_machines=15)",5471.0
"JobShopInstance(name=Ta16_F.txt, num_jobs=20, num_machines=15)",6137.0
"JobShopInstance(name=Ta17_F.txt, num_jobs=20, num_machines=15)",6194.0
"JobShopInstance(name=Ta18_F.txt, num_jobs=20, num_machines=15)",6118.0
"JobShopInstance(name=Ta19_F.txt, num_jobs=20, num_machines=15)",5449.0
